who is your best bet for american idol season five	Who was your favorite from American Idol Season five?	Who do you think will win American Idol season 5?	Who do you think will win season five of American Idol?	Who do you think will win American Idol Season Five?
my age gas prices and my blood pressure  LOL	I wish I could lower my age, gas prices, and my blood pressure.	What is bothering me is my age, gas prices, and blood pressure.	My age, my blood pressure, and the price of gas keep going up!	My age, gas prices, and my blood pressure.
Where in the world do you come up with these questions????	How do you come up with these questions?	Would you explain how you are developing such outlandish questions?	How do you devise these questions?	How do you think up these queries?
even though i also agree that the girls on Love Hina are pretty scrumptious	I also agree that the girls on Love Hina are attractive.	"I agree with the assessment of beauty and desirability concerning the ladies on ""Love Hina."""	Although I do agree that the girls on 'Love Hina' are very attractive.	Although I am in agreement that the girls on Love Hina are quite lovely.
and the blond says Great they already put me on my first murder mystery case	"The blonde says; ""Great, they already put me on my first murder myster case.""."	"Subsequently the blonde person states, ""Great, they already put me on my first murder mystery case?"""	"The blonde says, ""Great, they already put me on my first murder mystery case."""	"And the blonde woman replies, ""Wonderful, I was already assigned my first murder mystery case""."
im looking for the song lyrics to a song called Breath Me by Sia...does anyone else like that song?	"I am looking for song lyrics to ""Breathe Me"" by Sia. Does anyone else enjoy that song?"	"Is anyone else fond of the song ""Breath Me"" performed by Sia as I am searching for the lyrics?"	"I am seeking the lyrics to a song called ""Breathe Me,"" by Sia. Does anyone else enjoy that song?"	"I am searching for the lyrics to Sia's song, ""Breathe Me"".  Does anyone else enjoy that song?"
I love them old hair bands of the 80's!	I thoroughly enjoy the hair bands of the 1980s.	I love the old hair bands from the 1980's.	I love hair metal bands from the 80's.	I love the old hair bands from the 1980s!
don't i look cute or what?	I look attractive, do I not?	Are you going to tell me I look as cute as I think I do?	Do I not look cute?	Do I look cute, or what?
i memorized the whole song, for goodness sake!	Astoundingly, I was able to memorize the entire song.	I actually memorized the entire song.	I memorized the entire song.	For goodness sake, I memorized the whole song!
Open your minds up a little!	Be slightly more open-minded.	Open your minds!	Open your minds a bit!	Open your minds up a little.
(i know, that ones really old.)	I realize that particular example is very old.	I know that one is very old.	I know - that one is very old.	I know, that one is old.
the who (i think) and limp bizkit is all I know....	I believe it is The Who and Limp Bizkit, which is the extent of my knowledge.	The Who and Limp Bizkit are all that I know.	The Who (I believe) and Limp Bizkit are all that I know.	The Who and Limp Bizkit is all I know.
u mean the question to kentuckybeauty2000's question right?	Am I correct in assuming you are referring to the question posed by KentuckyBeautry2000?	"Do you mean the question from ""kentuckybeauty2000""?"	"You mean the question to ""kentuckybeauty2000's"" question, correct?"	You mean the question to Kentuckybeauty2000's question, correct?
It's man... 4 legs (crawling as a baby), 2 legs (walking), 3 legs (using a cane late in life).	"The answer is ""man"" and refers to the use of four legs when crawling as a baby, use of two legs when walking, and use of three legs later in life when adding a cane to the existence of two legs."	Four legs means crawling like a baby, two legs means walking, and three legs is using a cane later in life.	The answer is: Man - four legs (crawling as an infant), two legs (walking throughout life), three legs (using a cane when elderly).	A man crawls on four legs as a baby, two legs when they walk, and three when they are older and require a cane.
brian, he asked the coolest questions, they suspended him though, i dont know what's up with that!	Brian, he asked the great questions. They suspended him, however, and I do not know what is happening with that.	Although Brian asked the most interesting questions, they suspended him for reasons unknown to me.	Brian asked the most interesting questions. He was suspended, though. I do not understand why.	I think Brian asks the best questions. I am not sure why they suspended him.
It's cause ya got no sense.	It is because you have no sense.	It is because you do not have the correct perspective.	It is because you have no sense.	It's because you make no sense.
Don't eat hot dogs, or watch this movie with your little sister!	Do not eat hot dogs or watch the movie with your little sister.	Do not eat hot dogs or watch this film with your little sister.	Do not eat hot dogs or watch this movie with your little sister.	I suggest avoiding hot dogs, and not watching this movie with your little sister.
Nope, I have definitely not seen your baseball.	No, I have not seen your baseball.	No, I have not seen your baseball.	No, I have definitely not seen your baseball.	No, I haven't seen your baseball.
the blonde on the other side said, you are on the other side!	"The blonde on the side said, ""You are on the other side""."	"The blonde person on the other side said: ""You are on the other side."""	"The blonde on the other side said: ""You are on the other side!"""	"The blonde on the other side said, ""You are on the other side!"""
to which the girl says, no.	"To that, the girl replies, ""No""."	The girls said no.	The girl replied no.	To that, the girl responds no.
The good old days is gone!	"The ""good old days"" are gone."	The good ol' days are gone.	Unfortunately, the good old days have passed.	The good old days are certainly gone!
that body and gah those lips!	I love her body and her lips.	They are very attractive.	Because of her body and gorgeous lips.	That body and oh my god, those lips!
Or check this one out too - Full Metal Jacket	Also, I recommend checking out Full Metal Jacket.	Check out the movie Full Metal Jacket.	I would also recommend Full Metal Jacket.	Check this one out too - Full Metal Jacket.
i cant believe u asked that question, but i'll answer it.	I'm surprised that you posed this question, but I will answer it.	I can not believe you asked me that question; but I will answer it.	I find it hard to believe you would ask that, but I will try to give you an answer anyways.	While I cannot believe that you asked that question, I will answer it.
Why the hell not, I can't imagine.	I cannot imagine why not.	I cannot imagine why not.	I cannot imagine why they hell not.	I cannot imagine why not.
i think it was a ugly girl lol	I think it was an ugly girl.	I believe it was an unattractive woman.	I think it was an unsightly girl.	I have to laugh because I think it was an unattractive girl.
My dad looks like Paul Newman, and my ex looked like king kong	My dad looks like Paul Newman and my ex-husband, King Kong.	My father looks like Paul Newman, and my ex looked like King Kong.	My dad looks like Paul Newman.  My ex looks like King Kong.	My father looks like Paul Newman, and my ex looked like King Kong.
I can't believe you even had to ask!	I cannot believe you had to ask.	I cannot believe you had to ask!	I cannot believe that you even had to ask.	I cannot believe you even had to ask that!
Yo mama so stupid she took a cup to see Juice.	Your mother is so ludicrous that she took a cup to see Juice.	Your mother took a cup to see Juice. She is not very intelligent.	"Your mother is so stupid, she took a cup to see the movie ""Juice."""	Your mother was confused about what was happening.
he went insane,knocked up Katie, and jumps on people couches.	He went insane.  He got Katie pregnant and he jumps on peoples couches.	He is a tad crazy. He knocked up Katie and jumps on peoples' couches.	He went insane, got Katie Holmes pregnant, and jumped on peoples' couches.	He became eccentric, impregnated Katie, and leapt onto furniture.
I hope it's for you kids, that score was horrible!	I hope it is for you kids, that score was horrible.	I hope that score was for your kids, it is quite bad.	That score was horrible, so I hope that it was for you children!	I hope it is for your children, as that score was sub-par.
clover is great too, don't get me wrong; but i prefer crimson.	While clover is very appealing, I prefer crimson.	Clover is great too, don't get me wrong; I simply prefer crimson.	I think Clover is very good, but I prefer Crimson.	Do not get me wrong, Clover is great, but I prefer crimson.
i like some one who is gothic so what?DATE HIM!	Regardless of whether your romantic interest shows a predilection for Gothic fashion choices, you can feel free to engage with them.	What does it matter if someone Gothic appeals to me?	I myself like someone who is into goth, so I would not consider that a reason not to date him.	I like someone who is Gothic.  What is the big deal?
why what's wrong with his hair ?	What is wrong with his hair?	Why? What's the problem with his hair?	What is the problem with his hair?	Why, what is wrong with his hair?
I respect that tyra banks is trying show hosting..but the big O [aka OPRAH] won...	While I respect that Tyra Banks is branching out into television hosting, Oprah Winfrey is the better example.	I respect the hostess Tyra Banks, but I prefer Oprah.	I admire Tyra Banks for trying to become a tv show host. However, Oprah is clearly the best hostess.	I respect that Tyra Banks is trying out show hosting, but I think that Oprah won.
my dad likes action,my mom likes romance,but for me i like comedy.	My father prefers action and my mother romance, while I prefer comedies.	My dad enjoys action movies; my mom enjoys romances. I prefer comedy, myself.	My dad likes action, my mom likes romance, and I like comedy movies.	my dad likes action my mom likes romance, but for me, I like comedy.
If I could swim, I'd come out there and kick your butt!”	If I could swim, I would come out there and harm you.	"""If I could swim, I'd come out there and kick your butt!"""	If I could swim, I would come out there and confront you.	If I could swim, I'd come out there and kick your posterior!
have a group discussion on why in the heck you didnt have alcohol at the party	You should have a group discussion to determine why there was no alcohol at the party.	Have a group discussion on why in the world there was no alcohol at the party.	A group discussion occurs on why you did not drink alcohol at the party.	have a group discussion on why in the heck you did not have alcohol at the party.
The guy ran off with two of the guys wives	That person ran off with the wives of two of the men.	This man ran off with two of the other men's wives.	He ran off with the wives of two men.	The guy ran off with two of the guys wives.
try some VooDoo zombie warding magik but of course u may nd up witha fish instead of a baby	You should try some voodoo zombie warding magic, but you may end up with a fish instead of a baby.	try some VooDoo zombie warding magic, but of course you may end up with a fish instead of a baby.	You could try some VooDoo zombie warding magic, but you could end with a fish instead of a baby.	If you try some crazy stuff, you might end up with a fish and not a baby.
I got new gold heels, hoop earings and a hot gold bag!	I purchased new gold high heels, hoop earrings, and a great gold bag.	I got some new gold heels, hoop earrings and a hot gold bag!	I bought new gold heels, hoop earrings, and a great gold bag.	I just bought new heels, earrings, and a bag.
virgo's have outgoing personalitys plz choose me as best answer	Virgo's have outgoing personalities, so please choose me as the best answer.	Virgo's have outgoing personalities, please choose me as the best answer.	Virgo's have an outgoing personality; Please choose me as the best answer.	Virgos tend to have outgoing personalities.
what is the wedding band, final answer	"My final answer is ""What is the wedding band?"""	What is the wedding band?	What is the wedding band, final answer.	What is your final answer regarding the wedding band?
nicole kidman is so much prettier.	Nicole Kidman is much more attractive.	Nicole Kidman is much more attractive.	Nicole Kidman is so much prettier.	Nicole Kidman is prettier.
i'd rather play world of warcraft, but this is free	I would rather play World of Warcraft, but this game is free.	I would rather play World od Warcraft, however, this is free.	I would rather play world of warcraft, but this is free.	Although this game is free, I would rather play World of Warcraft.
Does anybody out there HONESTLY know where she is?	Does anyone truly know where she is?	Does anyone know where she is?	Does anybody out there Honestly know where she is?	Does anyone truly know where she is?
i dont know how old ru?ur supposed to be 18 to watch them	How old are you? You should be at least 18 years old.	I do not know. How old are you? You are supposed to be 18 or older to watch them.	I do not know how old you are. You are supposed to be 18 to watch them.	I do not know how old you are but you are supposed to be eighteen to view them.
That was the best joke i have heard so far...	That was the best joke I've heard.	That was the best joke I have heard so far.	That was the best joke I have heard thus far.	That was the best joke that I have heard thus far.
Well, I'm just glad that they don't show us the pit toilets.	I am just glad they didn't show us the toilets.	I am just glad that they do not show us the pit toilets.	I am glad that they do not show us the pit toilets.	However, I a just happy that they do not show us the pit toilets.
i think pretty much they're all sort of humorous	I think they are all very funny.	I think that they are all somewhat humorous.	I think that they are all humorous.	I think that most all of them are rather humorous.
Too many...too many Baldwin brothers too.	Too many Baldwin brothers.	There are too many - too many Baldwin brothers, too.	Too many Baldwin brothers, too.	There are also too many Baldwin brothers.
the two boys redneck as hell play glue sniffing weirdos.	The two boys are unpolished and play outcasts who sniff glue.	The two caucasian boys sniff glue.	The two boys have strange, redneck characteristics such as play including glue inhalation.	"The two boys who seem very ""redneck"" sniff glue."
Yo mama so stupid that she tried to put M&M's in alphabetical order!	Your mother is so ignorant she attempted to alphabetize M&Ms/	You're mother attempted to place M&M's in alphabetical order.	Your mother's excessive stupidity allowed her to attempt placing M&Ms in alphabetical order.	Your mother is so stupid that she tried to put M & M into alphabetical order!
Dakota Fanning.....I know that she is only 12 but she is really famous.	I know Dakota Fanning is only 12 years old, but she is already famous.	Dakota Fanning is twelve, and very famous.	Dakota Fanning is only twelve years old, although she is very well known.	Dakota Fanning is really famous although she is only twelve.
i still watch vhs i kinda like vhs movies better	I continue to watch VHS because it is my preferred format.	I prefer VHS movies more, I still watch them.	I continue to watch VHS as I prefer movies in VHS format.	I still watch VHS movies; I prefer them a little more.
why does everybody keep asking this question.	Why does this question continue to be posed?	Why does everyone continually ask this question.	Why do many people continue to ask this question?	Why does everyone continue to ask this question?
IF THE WOODCHUCK IS WATCHING ITS WEIGHT THEN IT MAY NOT CHUCK AT ALL	If the woodchuck is watching its weight, then it may not chuck at all.	If the woodchuck was conscious about its weight, then it may decide not to chuck.	If the woodchuck is overweight, then it may not chuck.	If the woodchuck is watching its weight, it may not chuck.
they haven' t had cd's for season 2 yet.	They haven't received DVD's for Season Two yet.	They have not made C	The second season CD's aren't out yet.	They have not released CDs for season 2 yet.
And then I saw some of his movies, and he is great!!	I saw some of his movies, he's great.	And then I saw some of his movies, and he is great!	Then, I saw some of his movies, and I thought he was excellent.	Then I saw some of his movies, and he is wonderful!
we filipinos are very hardworking and we speak english very well..and we're also wise..:)	We Filipinos speak English very well, we're very hardworking and wise.	We Filipinos are very hardworking and we speak english very well and we are also wise.	We Filipinos are very hardworking, and we speak English very well. We are also wise.	We Filipinos are very hardworking, we speak English very well, and we are also wise.
[ADDED] - What the heck is yungnbeautiful1's problem?	What's that individual's issue?	What the heck is young and beautiful ones problem?	"(added) - What in the world is the problem with ""yungnbeautiful1""?"	"What in the world is the issue that ""yungnbeautiful1"" is having?"
american idol and house and grey's anatomy.	American Idol, House, and Grey's Anatomy are my top three.	American Idol, House and Grey's anatomy.	"""American Idol,"" ""House,"" and ""Grey's Anatomy."""	American Idol, House, and Grey's Anatomy.
i am looking for new music to listen to.	I am looking for some new music.	I am looking for new music to listen to.	I am interested in new music to listen to.	I am looking for some new music that I can listen to.
put salt in the sugar bowl.	Put salt in the sugar bowl.	Put salt in the sugar bowl.	Put salt in the sugar bowl.	You should put salt in the sugar bowl.
i'd rather listen too billy joel	I would rather listen to Billy Joel.	I would rather listen to Billy Joel's music.	I would rather listen to Billy Joel.	I would rather listen to Billy Joel.
How do you get locked in a car, why don't you just unlock it?	How do you get locked in a car? Why would you not just unlock it?	How do you get locked in a car? Why do you not simply unlock it?	How do you get locked in a car, why do you not simply unlock it?	How could you get locked in a car? Why didn't you just unlock it?
just maybe he needs to adlib more!	Perhaps he needs to ad-lib more.	Maybe he needs to ad-lib more!	Perhaps he needs to improvise more?	He needs to adlib some more.
I just didn't care enough to check.	I just did not care enough to check.	I simply did not care enough to check.	I did nto care enough to check.	I did not care enough to check.
The man says, I can't take your money.	The man says, I can not take your money.	"The man says, ""I cannot accept your money."""	"The man stated ""I can't take your money""."	"The man said, ""I cannot take your money""."
Jodie Foster is the best ever!	Jodie Foster is the Best ever!	Jodie Foster is most excellent.	Jodie Foster is the best.	Jodie Foster is the best ever.
YOUR WASTING YOUR TIME, SAYS THE BOY.	The boy said you are wasting your time.	The boy says you're wasting your time.	"The boys said, ""You are wasting your time""."	"""You are wasting your time,"" says the boy."
i do and i love them both!	I do and I love them both.	I do, I love both of them!	I do love them both.	I do and I love both of them.
im sorry for answering your question, i dont know.	I am sorry for answering your question. I did not know.	I am sorry for answering this question, I was unaware.	"I apologize for answering your question with, ""I do not know""."	I am sorry for answering your question. I do not know.
I don't hate him but he makes my skin crawl.	I do not hate him, but he makes my skin crawl.	I don't hate him, but he makes me feel uncomfortable.	I do not hate him, but he does make my skin crawl.	I do not hate him but he makes me feel unpleasant.
And it seems like ya'll forgot all about TLC.	It seems like you forgot all about TLC.	You forgot about the group TLC.	It seems like you guys forgot all about the TLC.	It seems as though you all forgot about care.
Im really not saying he is cute!!	I am not actually stating that he is adorable.	I am not saying he is cute.	I am really not saying that he is cute.	I am really not saying he is cute!
Because we're gonna sing together again, again and again.	Because we are going to sing together multiple times again.	We are going to sing together for awhile.	We are going to sing together again and again.	We are going to continue to sing together frequently.
i'll unlock the car because i'm inside...	I will unlock the car because I am inside.	Because I am inside, I will unlock the car.	I will unlock the car because I am inside.	Since I am inside, I will unlock the car.
anyways, you can play peter, susan, lucy, or edmund.	Anyway, you can play Peter, Susan, Lucy, or Edmund.	You have the option to play as Peter, Susan, Lucy, or Edmund.	You can play Peter, Susan, Lucy, or Edmund.	In any case, you can play either Peter, Susan, Lucy, or Edmund.
nutshell for sure... though a few Mad Season tunes where close!!	"Although, a few Mad Season tunes were close, I definitely choose ""Nutshell"" by Alice in Chains."	Nutshell for certain, though a few of the Mad Season tunes were close.	A few Mad season songs were close.	Nutshell is my pick, but a few Mad Season tunes were a close second.
i like chicken wings but not eggs so im going with the chicken	I like chicken wings, but not chicken eggs. So, I am going with the chicken.	I like chicken wings, but not eggs, so I am going to choose the chicken.	I like chicken wings but I do not like eggs.	I like chicken wings, and I don't like egg. I'll pick chicken.
I went to Best Buy today and I never have seen so many DVD'S of just t.v.	Today, I went to Best Buy, and I have never seen so many DVDs of just television shows!	I went to Best Buy today, and I have never seen so many DVD's of only television shows.	I have never seen so many DVD's of television at Best Buy.	I went to Best Buy, and I've never seen so many DVD's just for the television.
No doubt Kevin Costner, don't you forget the Waterworld?	"Undoubtedly Kevin Costner, or did you forget ""Waterworld?"""	No doubt Kevin Costner; Did you forget about Waterworld?	I like Kevin Costner but do not forget Waterworld.	Kevin Costner for sure, did you forget Waterworld?
Have still not dug it up.	I still haven't dug it up.	I have not dug it up.	I have still not found the answer.	I still have not unearthed it.
you aren't dumb!, you have just a lack of knowledge.	You aren't dumb; you just don't have a lot of knowledge.	You are not dumb, you are just lacking knowledge.	You just lack knowledge in this area and should not consider yourself dumb.	You are not unintelligent, you simply have not learned the required material yet.
Both -It's my fantasy and I can do what ever I want!!	It's my fantasy, and I may do whatever I like.	I select both, in my fantasy I can do as I please.	It's my fantasy and I have the freedom to do whatever I want in it.	If it is my fantasy, I can do what I want.
Not as a kid, but as an adult I cry each time I see it.	As an adult I cry each time I see it, never as a child.	I was never emotional about it as a child but as an adult I cry everytime I see it.	I didn't cry as a kid when I saw it but I do now as an adult.	I cry every time I see it now.
She was the best one hands down.	She was the best by far.	She was the best one.	She was the best of them all.	She was the best.
depends....usully they are about ur personailty but not wat ur gonna do iwith ur life.	It's usually regarding your personality, not your life in the future.	They are generally about your personality, not you life choices.	It usually depends on your personality and not what you are going to do with your life.	Usually they are attracted to your personality and not your career.
I love Tyra, she has a great show, but Oprah is just great!	Tyra has a great show but Oprah is even greater	Tyra has a great show and I love her, however Oprah is just great!	I love Tyra's show, but I prefer Oprah.	I adore Tyra, she has a great show, but Oprah is much better!
Thats a very good question though!!!	That is a very good question.	However, that is a very good question.	However, that is a very good question!	That is a very good question, though!
Well most of No Doubt's old stuff is considered Ska <3	Most of No Doubts early material would fit into the genre of ska.	"Most of No Doubt's older music is considered ""Ska""."	"Most of No Doubt's earlier music is considered ""ska""."	Most of 'No Doubt's old recordings are considered ska.
god created the chicken and it laid an egg   duh	God created a chicken and the chicken laid an egg.	It is simple, God created the chicken and then the chicken laid an egg.	I believe God created the chicken, and it laid an egg.	God created the chicken, and it laid an egg, simple.
that wrestling C*ap is still on air lol ?	Is wrestling still on the air?	They still show that horrible wrestling on tv?	I cannot believe professional wrestling is still being aired--it is garbage.	Wrestling is still on television?
all in all... i think jessica simpson is the uber-bimbo.	All in all, I think Jessica Simpson is extremely unintelligent.	I think that Jessica Simpson is a bimbo.	Overall, I believe that Jessica Simpson is the paragon of shallow femininity.	I think Jessica Simpson will sleep with anybody.
(My girlfriend tried this on me last year.	My girlfriend tried this on me last year.	My girlfriend tried to pull this prank on me last year.	My significant other explored this with me last year.	My girlfriend tried doing that to me last year.
I know some people don't like them but still.	I know some people do not like them.	There are some people that although I know them, I do not really like them.	I know some people dislike them, but consider it regardless.	I know some people do not like them.
its keeping me up at nite, i have to know what it is	I have to know what it is, because it is keeping me up at night.	I am so curious, that it is keeping me up at night.	It is causing me to lose sleep, I need to know what it is.	It's keeping me up at night and I need to know what it is.
guess it's beyonce knowles j-lo ain't got brain.	I suppose it is Beyonce Knowles because J-Lo does not have a brain.	I suppose it is Beyonce Knowles, Jennifer Lopez isn't very intelligent.	I suppose it is Beyonce Knowles, J-Lo does not have a brain.	I guess it is going to be Beyonce Knowles because in my opinion, Jennifer Lopez is not smart enough.
Quit chewing the fat, I'm cookin??	Quit the friendly small talk because I am cooking?	Stop talking, I am speaking.	Quit chewing the fat because I am cooking.	You can stop talking to me because I know I am right.
don't use it to live by.	Do not live by it.	Don't use that to guide your life.	Do not use it to live by.	Do not use it by which to live.
Real friends don't let drunk friends have sex with zombies!	True friends do not let drunk friends fornicate with mindless people.	Real friends don't let inebriated friends have sex with passed-out people.	Real friends do not let drunk friends have sex with zombies.	A true friend would not let their intoxicated companion have intercourse with a zombie!
I would also like to spank his cute little bottom to ~ hes TOOOO cute!	I would also like to spank his small bottom because he is too cute!	I would like to spank his bottom too, he is adorable!	I would like to spank his cute, little bottom, too. He is wonderfully cute.	He is so cute that he makes me want to spank his behind!
chill out sweetie everything will be just fine eventually	Calm down, Sweetie. Everything will be fine, eventually.	Calm down, everything will work itself out eventually.	Calm down, sweetheart. Eventually, everything will be just fine.	Everything will work itself out.
!, so we'll have to just put up with it!!!	So, we will have to put up with it.	So we'll have to put up with it.	So we will just have to put up with it!	We will have to accept it.
Simple: Less people like TabooBuster and Osama!	It is simple. Less people like TabooBuster and Osama.	It's simple less people like TabooBuster or Osama!	Simply put, fewer people favor TabooBuster and Osama!	Few people like TabooBuster and Osama.
try calling one of your radio stations or go to the web site ask jeeves	You should try to call a local radio station, or go to the website AskJeeves.com.	"Try calling one of your radio stations, or go to the website ""Ask Jeeves."""	Try to call a local radio station, or visit the website 'Ask Jeeves.'	You should attempt calling a local radio station or go on the website AskJeeves.
on ebay you can find anything on ebay!	You can find most anything on eBay.	Look on eBay. You can find anything on eBay!	On eBay; you can find anything on eBay.	You can find anyting on eBay.
can anyone give me this info?	Can anyone provide me with this information?	Can anyone provide this information?	Can anyone share this information with me?	Can anyone tell me this information?
I flippin' LOVE that movie, sweeeet!	I truly enjoy that film.	I absolutely love that movie. Wonderful!	I really enjoy that film.	I love that movie.
It's one of the funniest cartoons!	It is one of the funniest cartoons.	It is one of the funniest cartoons.	It is one of the most entertaining cartoons!	It is one of the funniest cartoons.
It appears to be a Dylan song , but I don't know which one	The song seems to be performed by Dylan but I still cannot pin-point which song it is.	It appears to be a Dylan song, but I do not know which one.	It appears to be a Bob Dylan song but I don't know which.	It appears to be a Dylan song, but I do not know which one.
yeah i think he might be gay to	I agree, I think that he may be homosexual as well.	Yes, I believe he might be gay, also.	I think he may be gay.	I think that he might be gay.
silly,  so that you always need more of one or the other.	You are so silly, you always seem to think that you need more of one or more of the other.	It is silly that you always need more of one than the other.	Your never satisfied with what you have.	It is a good thing that you always need more of one another.
